Bits,ADD,MUL
32,1140,595
32,999,519
32,1048,526
32,1066,533
32,968,436
32,1022,528
32,1050,521
32,1046,523
32,899,461
32,1056,537
32,1118,577
32,1041,494
32,1138,590
32,1069,536
32,1117,565
32,1103,567
32,1082,574
32,1158,588
32,1089,578
32,1056,521
32,883,401
32,1094,570
32,1025,513
32,1045,564
32,1047,510
32,1133,586
32,859,415
32,1063,537
32,1012,532
32,1114,559
32,1088,547
32,1206,612
32,1029,516
32,1211,636
32,1185,598
32,957,493
32,1058,505
32,1181,610
32,1128,583
32,1048,536
32,1142,587
32,1154,604
32,1098,577
32,1048,542
32,951,447
32,1077,548
32,1090,525
32,1039,496
32,1070,533
32,1207,622
64,3887,1803
64,3731,1625
64,3551,1548
64,3693,1631
64,3546,1571
64,3826,1688
64,3805,1695
64,3772,1697
64,3932,1805
64,3693,1654
64,3558,1525
64,3796,1732
64,3696,1632
64,3500,1531
64,3596,1581
64,3870,1724
64,3798,1678
64,3760,1688
64,3867,1664
64,3676,1616
64,3878,1750
64,3820,1734
64,3650,1600
64,3694,1618
64,3932,1758
64,3593,1633
64,3688,1655
64,3838,1685
64,4002,1770
64,3586,1606
64,3948,1767
64,3695,1588
64,3585,1493
64,3817,1708
64,3467,1578
64,3738,1645
64,3573,1563
64,3782,1613
64,3580,1617
64,3242,1421
64,3657,1670
64,3562,1623
64,3692,1622
64,3775,1631
64,3840,1677
64,3824,1643
64,3773,1694
64,3958,1803
64,3902,1749
64,3789,1686
128,12519,5209
128,12155,4955
128,12236,5072
128,12407,5094
128,12272,5080
128,12136,4955
128,12134,4944
128,12146,4909
128,12573,5204
128,12261,4926
128,12546,5224
128,12033,4873
128,12272,5089
128,12326,5060
128,12672,5260
128,12742,5307
128,12210,4948
128,11831,4854
128,12318,5008
128,11781,4870
128,11966,5005
128,12373,5070
128,12293,4961
128,12616,5288
128,12287,5101
128,12507,5310
128,12222,4945
128,12580,5131
128,11633,4693
128,12586,5214
128,11828,4720
128,12479,5065
128,12546,5182
128,12185,4974
128,11651,4745
128,12093,4925
128,12450,5172
128,12458,5104
128,12632,5261
128,12633,5303
128,12178,5030
128,12077,5022
128,12156,4818
128,12215,5085
128,12709,5280
128,12478,5111
128,12673,5374
128,11890,4838
128,12196,5080
128,11866,4733
256,39056,15172
256,39080,15319
256,39379,15492
256,38200,14764
256,38833,15074
256,38795,15266
256,39299,15607
256,39963,15924
256,38402,14895
256,38316,15042
256,38649,15195
256,39716,15533
256,39583,15733
256,39604,15420
256,38747,15216
256,38731,14976
256,38874,15069
256,37947,14737
256,39198,15274
256,40019,15868
256,38722,15292
256,38878,15208
256,39667,15577
256,38652,15192
256,38003,14702
256,39146,15306
256,39311,15554
256,39024,15267
256,39196,15326
256,39169,15357
256,39096,15345
256,39513,15674
256,38973,15097
256,38797,15085
256,39440,15302
256,38520,15114
256,39642,15733
256,38867,15140
256,39582,15573
256,39130,15367
256,39124,15400
256,39146,15338
256,39044,15154
256,39711,15645
256,39400,15574
256,38912,15273
256,39066,15214
256,38603,15101
256,38709,14983
256,39087,15062
512,121528,46010
512,121823,46162
512,120792,45634
512,122850,47432
512,119462,45285
512,121092,45915
512,122476,46450
512,120202,45393
512,120890,45573
512,122940,46695
512,121604,46521
512,121461,46632
512,120015,45401
512,121729,46296
512,122087,46487
512,121806,46588
512,121736,46217
512,120947,45850
512,122412,46652
512,122123,46391
512,121876,46451
512,122278,46467
512,122405,46790
512,121325,45891
512,120594,45146
512,121037,45860
512,120857,45456
512,121303,46053
512,120119,45357
512,121733,46455
512,121848,46362
512,122357,46381
512,122791,47131
512,121038,46211
512,120930,46029
512,121259,46142
512,121997,46676
512,121941,46491
512,123249,47314
512,121405,46381
512,122763,47052
512,120577,45482
512,123722,47038
512,121704,46068
512,120707,45883
512,121992,46370
512,123261,47187
512,120362,45150
512,121278,46424
512,122692,47053
1024,372284,138017
1024,374148,139955
1024,371314,138349
1024,373108,138351
1024,372692,138457
1024,374082,140554
1024,371253,137901
1024,372977,139171
1024,372056,138438
1024,375829,140517
1024,373576,139246
1024,372495,138917
1024,371675,137264
1024,371308,137863
1024,371480,138334
1024,374548,139771
1024,373830,139757
1024,372928,139299
1024,375333,140429
1024,375876,140759
1024,373868,139495
1024,376443,140348
1024,372151,138351
1024,373749,139184
1024,374667,140069
1024,371458,137891
1024,371364,138314
1024,374541,139929
1024,372485,139154
1024,366461,135160
1024,372026,137859
1024,371958,138483
1024,371254,138129
1024,373330,139211
1024,372862,139303
1024,371125,137915
1024,375606,140248
1024,373645,139245
1024,372461,138250
1024,373614,138846
1024,373523,138947
1024,373975,139044
1024,371485,138329
1024,372195,139448
1024,373897,139621
1024,370440,137616
1024,373011,138711
1024,369277,136363
1024,372500,138296
1024,376590,140944
